"year","name","percent","sex"
"1880","John","0.081541","boy"
"1880","William","0.080511","boy"
"1880","James","0.050057","boy"
"1880","Charles","0.045167","boy"
"1880","George","0.043292","boy"
"1880","Frank","0.02738","boy"
"1880","Joseph","0.022229","boy"
"1880","Thomas","0.021401","boy"
"1880","Henry","0.020641","boy"
"1880","Robert","0.020404","boy"
"1880","Edward","0.019965","boy"
"1880","Harry","0.018175","boy"
"1880","Walter","0.014822","boy"
"1880","Arthur","0.013504","boy"
"1880","Fred","0.013251","boy"
"1880","Albert","0.012609","boy"
"1880","Samuel","0.008648","boy"
"1880","David","0.007339","boy"
"1880","Louis","0.006993","boy"
"1880","Joe","0.006174","boy"
"1880","Charlie","0.006165","boy"
"1880","Clarence","0.006165","boy"
"1880","Richard","0.006148","boy"
"1880","Andrew","0.005439","boy"
"1880","Daniel","0.00543","boy"
"1880","Ernest","0.005194","boy"
"1880","Will","0.004966","boy"
"1880","Jesse","0.004805","boy"
"1880","Oscar","0.004594","boy"
"1880","Lewis","0.004366","boy"
"1880","Peter","0.004189","boy"
"1880","Benjamin","0.004138","boy"
"1880","Frederick","0.004079","boy"
"1880","Willie","0.00402","boy"
"1880","Alfred","0.003961","boy"
"1880","Sam","0.00386","boy"
"1880","Roy","0.003716","boy"
"1880","Herbert","0.003581","boy"
"1880","Jacob","0.003412","boy"
"1880","Tom","0.00337","boy"
"1880","Elmer","0.00315","boy"
"1880","Carl","0.003142","boy"
"1880","Lee","0.003049","boy"
"1880","Howard","0.003015","boy"
"1880","Martin","0.003015","boy"
"1880","Michael","0.00299","boy"
"1880","Bert","0.002939","boy"
"1880","Herman","0.002931","boy"
"1880","Jim","0.002914","boy"
"1880","Francis","0.002905","boy"
"1880","Harvey","0.002905","boy"
"1880","Earl","0.002829","boy"
"1880","Eugene","0.00277","boy"
"1880","Ralph","0.002677","boy"
"1880","Ed","0.002618","boy"
"1880","Claude","0.00261","boy"
"1880","Edwin","0.00261","boy"
"1880","Ben","0.002576","boy"
"1880","Charley","0.002576","boy"
"1880","Paul","0.002542","boy"
"1880","Edgar","0.00239","boy"
"1880","Isaac","0.002314","boy"
"1880","Otto","0.002289","boy"
"1880","Luther","0.002196","boy"
"1880","Lawrence","0.00217","boy"
"1880","Ira","0.002103","boy"
"1880","Patrick","0.002094","boy"
"1880","Guy","0.002018","boy"
"1880","Oliver","0.001976","boy"
"1880","Theodore","0.001959","boy"
"1880","Hugh","0.001892","boy"
"1880","Clyde","0.001866","boy"
"1880","Alexander","0.001782","boy"
"1880","August","0.001774","boy"
"1880","Floyd","0.00174","boy"
"1880","Homer","0.001731","boy"
"1880","Jack","0.001723","boy"
"1880","Leonard","0.001689","boy"
"1880","Horace","0.001681","boy"
"1880","Marion","0.001596","boy"
"1880","Philip","0.001571","boy"
"1880","Allen","0.001554","boy"
"1880","Archie","0.001546","boy"
"1880","Stephen","0.001486","boy"
"1880","Chester","0.001419","boy"
"1880","Willis","0.001402","boy"
"1880","Raymond","0.001394","boy"
"1880","Rufus","0.001377","boy"
"1880","Warren","0.001334","boy"
"1880","Jessie","0.001301","boy"
"1880","Milton","0.001258","boy"
"1880","Alex","0.001241","boy"
"1880","Leo","0.001241","boy"
"1880","Julius","0.001208","boy"
"1880","Ray","0.001199","boy"
"1880","Sidney","0.001199","boy"
"1880","Bernard","0.001182","boy"
"1880","Dan","0.001182","boy"
"1880","Jerry","0.001149","boy"
"1880","Calvin","0.001132","boy"
"1880","Perry","0.001132","boy"
"1880","Dave","0.001106","boy"
"1880","Anthony","0.001098","boy"
"1880","Eddie","0.001089","boy"
"1880","Amos","0.001081","boy"
"1880","Dennis","0.001081","boy"
"1880","Clifford","0.001073","boy"
"1880","Leroy","0.001047","boy"
"1880","Wesley","0.001039","boy"
"1880","Alonzo","0.00103","boy"
"1880","Garfield","0.00103","boy"
"1880","Franklin","0.001013","boy"
"1880","Emil","0.001005","boy"
"1880","Leon","0.000997","boy"
"1880","Nathan","0.000963","boy"
"1880","Harold","0.000954","boy"
"1880","Matthew","0.000954","boy"
"1880","Levi","0.000946","boy"
"1880","Moses","0.000937","boy"
"1880","Everett","0.000929","boy"
"1880","Lester","0.000921","boy"
"1880","Winfield","0.000912","boy"
"1880","Adam","0.000878","boy"
"1880","Lloyd","0.000878","boy"
"1880","Mack","0.000878","boy"
"1880","Fredrick","0.00087","boy"
"1880","Jay","0.00087","boy"
"1880","Jess","0.00087","boy"
"1880","Melvin","0.00087","boy"
"1880","Noah","0.00087","boy"
"1880","Aaron","0.000861","boy"
"1880","Alvin","0.000861","boy"
"1880","Norman","0.000861","boy"
"1880","Gilbert","0.000853","boy"
"1880","Elijah","0.000845","boy"
"1880","Victor","0.000845","boy"
"1880","Gus","0.000836","boy"
"1880","Nelson","0.000836","boy"
"1880","Jasper","0.000828","boy"
"1880","Silas","0.000828","boy"
"1880","Christopher","0.000819","boy"
"1880","Jake","0.000811","boy"
"1880","Mike","0.000802","boy"
"1880","Percy","0.000794","boy"
"1880","Adolph","0.000785","boy"
"1880","Maurice","0.000785","boy"
"1880","Cornelius","0.000777","boy"
"1880","Felix","0.000777","boy"
"1880","Reuben","0.000777","boy"
"1880","Wallace","0.000769","boy"
"1880","Claud","0.00076","boy"
"1880","Roscoe","0.00076","boy"
"1880","Sylvester","0.000752","boy"
"1880","Earnest","0.000743","boy"
"1880","Hiram","0.000743","boy"
"1880","Otis","0.000743","boy"
"1880","Simon","0.000743","boy"
"1880","Willard","0.000743","boy"
"1880","Irvin","0.000726","boy"
"1880","Mark","0.000726","boy"
"1880","Jose","0.000709","boy"
"1880","Wilbur","0.000693","boy"
"1880","Abraham","0.000684","boy"
"1880","Virgil","0.000684","boy"
"1880","Clinton","0.000667","boy"
"1880","Elbert","0.000667","boy"
"1880","Leslie","0.000667","boy"
"1880","Marshall","0.000659","boy"
"1880","Owen","0.000659","boy"
"1880","Wiley","0.000659","boy"
"1880","Anton","0.00065","boy"
"1880","Morris","0.00065","boy"
"1880","Manuel","0.000633","boy"
"1880","Phillip","0.000633","boy"
"1880","Augustus","0.000625","boy"
"1880","Emmett","0.000625","boy"
"1880","Eli","0.000617","boy"
"1880","Nicholas","0.000617","boy"
"1880","Wilson","0.000608","boy"
"1880","Alva","0.000591","boy"
"1880","Harley","0.000591","boy"
"1880","Newton","0.000591","boy"
"1880","Timothy","0.000591","boy"
"1880","Marvin","0.000583","boy"
"1880","Ross","0.000583","boy"
"1880","Curtis","0.000574","boy"
"1880","Edmund","0.000566","boy"
"1880","Jeff","0.000557","boy"
"1880","Elias","0.000549","boy"
"1880","Harrison","0.000549","boy"
"1880","Stanley","0.000549","boy"
"1880","Columbus","0.000541","boy"
"1880","Lon","0.000541","boy"
"1880","Ora","0.000541","boy"
"1880","Ollie","0.000532","boy"
"1880","Russell","0.000532","boy"
"1880","Pearl","0.000524","boy"
"1880","Solomon","0.000524","boy"
"1880","Arch","0.000515","boy"
"1880","Asa","0.000507","boy"
"1880","Clayton","0.000507","boy"
"1880","Enoch","0.000507","boy"
"1880","Irving","0.000507","boy"
"1880","Mathew","0.000507","boy"
"1880","Nathaniel","0.000507","boy"
"1880","Scott","0.000507","boy"
"1880","Hubert","0.000498","boy"
"1880","Lemuel","0.000498","boy"
"1880","Andy","0.00049","boy"
"1880","Ellis","0.00049","boy"
"1880","Emanuel","0.000481","boy"
"1880","Joshua","0.000481","boy"
"1880","Millard","0.000473","boy"
"1880","Vernon","0.000473","boy"
"1880","Wade","0.000473","boy"
"1880","Miles","0.000456","boy"
"1880","Rudolph","0.000456","boy"
"1880","Sherman","0.000456","boy"
"1880","Austin","0.000448","boy"
"1880","Bill","0.000448","boy"
"1880","Lonnie","0.000448","boy"
"1880","Monroe","0.000448","boy"
"1880","Byron","0.000439","boy"
"1880","Edd","0.000439","boy"
"1880","Grant","0.000439","boy"
"1880","Jerome","0.000439","boy"
"1880","Max","0.000439","boy"
"1880","Mose","0.000439","boy"
"1880","Steve","0.000439","boy"
"1880","Gordon","0.000431","boy"
"1880","Abe","0.000422","boy"
"1880","Pete","0.000422","boy"
"1880","Chris","0.000414","boy"
"1880","Clark","0.000414","boy"
"1880","Orville","0.000414","boy"
"1880","Lorenzo","0.000405","boy"
"1880","Bruce","0.000397","boy"
"1880","Marcus","0.000397","boy"
"1880","Preston","0.000397","boy"
"1880","Bob","0.000388","boy"
"1880","Dock","0.000388","boy"
"1880","Donald","0.000388","boy"
"1880","Jackson","0.000388","boy"
"1880","Cecil","0.00038","boy"
"1880","Barney","0.000372","boy"
"1880","Delbert","0.000372","boy"
"1880","Edmond","0.000372","boy"
"1880","Christian","0.000363","boy"
"1880","Glenn","0.000363","boy"
"1880","Luke","0.000363","boy"
"1880","Neal","0.000363","boy"
"1880","Ike","0.000355","boy"
"1880","Myron","0.000355","boy"
"1880","Tony","0.000355","boy"
"1880","Conrad","0.000346","boy"
"1880","Joel","0.000346","boy"
"1880","Riley","0.000346","boy"
"1880","Vincent","0.000346","boy"
"1880","Isaiah","0.000338","boy"
"1880","Nick","0.000338","boy"
"1880","Ezra","0.000329","boy"
"1880","Juan","0.000329","boy"
"1880","Clifton","0.000321","boy"
"1880","Arnold","0.000312","boy"
"1880","Jeremiah","0.000312","boy"
"1880","Taylor","0.000312","boy"
"1880","Forrest","0.000304","boy"
"1880","Roland","0.000304","boy"
"1880","Spencer","0.000296","boy"
"1880","Burton","0.000287","boy"
"1880","Don","0.000287","boy"
"1880","Louie","0.000279","boy"
"1880","Morgan","0.000279","boy"
"1880","Julian","0.00027","boy"
"1880","Kenneth","0.00027","boy"
"1880","Mitchell","0.00027","boy"
"1880","Allie","0.000262","boy"
"1880","Pedro","0.000262","boy"
"1880","Ervin","0.000253","boy"
"1880","Lynn","0.000253","boy"
"1880","Ruben","0.000253","boy"
"1880","Douglas","0.000245","boy"
"1880","Wilbert","0.000245","boy"
"1880","Ivan","0.000236","boy"
"1880","Jonas","0.000236","boy"
"1880","Caleb","0.000228","boy"
"1880","Clint","0.000228","boy"
"1880","Mary","0.000228","boy"
"1880","Antonio","0.00022","boy"
"1880","Bennie","0.00022","boy"
"1880","Carroll","0.00022","boy"
"1880","Josiah","0.00022","boy"
"1880","Dick","0.000211","boy"
"1880","Emerson","0.000211","boy"
"1880","Laurence","0.000211","boy"
"1880","Neil","0.000211","boy"
"1880","Roger","0.000211","boy"
"1880","Seth","0.000211","boy"
"1880","Glen","0.000203","boy"
"1880","Jimmie","0.000203","boy"
"1880","Johnnie","0.000203","boy"
"1880","Elwood","0.000194","boy"
"1880","Jordan","0.000194","boy"
"1880","Wayne","0.000194","boy"
"1880","Evan","0.000186","boy"
